IDADE,SALARIO_ANUAL,SIT_PROPIEDADE,TEMPO_DE_TRABALHO,MOTIVO,PONTUACAO_EMPRESTIMO,VALOR_TOTAL_SOLICITADO,TAXAS_JUROS,POSSIB_INADIMPLENCIA,RENDA_PERCENTUAL,INADIMPLENCIA,TEMPO_PRIMEIRA_SOL_CRED
28,43200,ALUGADA,1,MEDICO,A,3000,7.49,0,0.07,0,9
26,38340,HIPOTECADA,7,PESSOAL,B,2500,12.18,1,0.07,0,4
26,80000,ALUGADA,0,"MELHORA DO LAR",A,8000,5.99,0,0.1,0,2
34,25200,ALUGADA,NULL,EMPREENDIMENTO,A,3000,7.66,0,0.12,0,8
28,81972,ALUGADA,4,"PAGAMENTO DE DEBITOS",B,18000,10.99,0,0.22,0,6
23,80000,PROPIA,7,PESSOAL,B,9000,9.62,0,0.11,0,2
31,78000,ALUGADA,1,EDUCATIVO,A,14000,9.63,0,0.18,0,5
29,45324,HIPOTECADA,4,PESSOAL,D,15150,14.54,0,0.33,0,10
31,45000,HIPOTECADA,16,EMPREENDIMENTO,B,6000,10.99,0,0.13,0,10
26,36000,ALUGADA,5,MEDICO,B,8550,10.25,1,0.24,0,2
22,50000,PROPIA,1,EDUCATIVO,A,3600,NULL,0,0.07,0,3
22,50000,PROPIA,3,EDUCATIVO,A,5000,7.29,0,0.1,0,4
30,57000,HIPOTECADA,2,EMPREENDIMENTO,A,6000,7.51,0,0.11,0,8
23,54000,HIPOTECADA,2,EMPREENDIMENTO,A,7000,6.62,0,0.13,0,3
23,80000,ALUGADA,6,EMPREENDIMENTO,A,6500,7.51,0,0.08,0,3
28,39000,ALUGADA,3,EMPREENDIMENTO,B,5000,10.25,0,0.13,0,10
25,155000,HIPOTECADA,9,MEDICO,A,18000,7.51,0,0.12,0,2
29,89004,HIPOTECADA,2,EDUCATIVO,D,4800,14.11,0,0.05,1,8
26,74000,HIPOTECADA,4,EDUCATIVO,B,7500,10.08,1,0.1,0,4
22,88620,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",A,24000,6.62,0,0.27,0,3
35,50000,HIPOTECADA,5,"MELHORA DO LAR",C,6000,13.49,0,0.12,0,6
22,32000,ALUGADA,1,EDUCATIVO,D,5400,16.29,1,0.17,1,2
29,175000,HIPOTECADA,2,"MELHORA DO LAR",A,10000,NULL,0,0.06,0,9
23,30000,ALUGADA,0,PESSOAL,B,1925,12.18,0,0.06,0,2
26,60000,HIPOTECADA,8,"MELHORA DO LAR",B,12000,10.65,0,0.2,0,2
32,62000,HIPOTECADA,3,EDUCATIVO,B,20000,11.36,0,0.32,0,9
22,66000,ALUGADA,3,"PAGAMENTO DE DEBITOS",D,20000,14.42,1,0.3,0,2
